1,ABCD,past,CBDO,zhs6R8wUCFeTKRxIvBiRdZZn3dVm5PbakxDNOmuFGg6qnGWOTWlTrABaHECznJaxoDtXNk4JSdK8du xHGTipIukwnFKj6d8GJB,11/11/2010,18/06/2013,akarageorgiadis@isc.tuc.gr
2,DCx,past,CBDO,kX9BtdcBO0E8XEQrg12HgUJmlftkW N2TtaZIFlFMGgurqtFTO7GOBgPNWaOu3pOmMppo1ibQw6Zza55wnRIDGnRMLLwpWWUcRH,23/09/2011,12/05/2011,anna.ykl@outlook.com
3,RTYM,past,director,eBDccqg1dGGaycgcGmhLfkXcdqxw4al8hSa4tLzchQJKGvYUJ5Qt5Gm5om x4u8DfJ4fBmt5xEoPaMWsRcn9K3CbrgPHMCjySGq,07/12/2009,28/07/2013,makis.karas@yahoo.com
4,THFs,current,CBDO,724ThLV71dWecPRfcG94nHczfWmtug08Uha1YIFyz7M8UCy26hHrUNCzZEyLjnMUoZK50bHTBLEr6ffdjuxNZJnHflbTU5OMu2U,09/05/2010,05/05/2017,giannhs.ada@outlook.com
5,efed,current,director,523CeZzqIIW45kVn00 6fwCaP z9G737ELllqsSyldf9Irht SZXv60I0dyel0jMQa0u u7HhLVBRERidF9zifLIVcwM5yMv5St,18/08/2010,16/11/2020,stelios.rod@aol.com
6,QWERTY,current,CBDO,t2xuPVR0jlz1wLPBg2vovOrYh9vNt lG9VjrrVtdRqmihmABpxr4Kp8fKZNRlDHk s2anjVKIRXFmJ259tj6Ss7UYEgRIc3NjCi,14/05/2012,07/03/2017,mary.erfy@gmail.com
7,ASDYF,current,worker,0vkZFchv3R33BhST2eLSSvhCjDDCrZJhklCKYUeew7DCgLfu0IAtXuQENi0CZfEeIVSafI6iAsgWsfhXiTMiZaJ0V880ecER2k5,13/05/2012,12/02/2019,danny.drinkwater@hotmail.com
8,ZXZ,current,manager,K3EOsNctqO4XtBdeFShFsMcEiLFDjnPeHkWedEeV7sdmblOzB899VfM8aArhIZJD9aPIp9AByMIAt1o77RCloRJnYYDdX8Niiao,17/04/2014,31/07/2017,james.vardy@gmail.com
9,BRBN,current,manager,BWGJD88KJWLOkWvl1WjZrQmuQ5ho19kdTMml0H9orHAQMJeHnXWL A7wuW3IbTTKxt6XvJvuY5tkPWiHbaBenZeTQ12eO1NXy1e,25/03/2013,06/09/2018,angus.young@verizon.com
10,LIOD,past,CDO,dOGWdmmyESWgXzwsAS0hYPmH4SRfhsVxZ3E3UDi2BlaB4VepdIME9UFOn dLVHQW7kGfu4X8v8gx0lNjymBZgQyFx1QVkXh4UDE,26/10/2012,06/06/2014,elenh.kals@verizon.com
11,zxc,past,director,kqD0lmD0XePNQuwN6q26EoJD7 GPJcNeVi1yqQYrltFPU2YOdcbOZNe7h 4mfyq5Rw3t48ipSKVVj5uEm3xsB EHD5RrXxMyDK8,14/08/2008,06/06/2013,sofia.sfsf@mail.com
12,FTFC,current,marketing officer,j pUf5w7O3JXnQ0 mA94Rsvp r1Sf9hRY7KE7jRyPD0O5hobhxkxFRq2O VzDebQV2 qFvDDuKoO2hucCavtZvMHQT17Ndvwmk3,19/11/2010,21/10/2017,maria.qrwge@hotmail.com
13,YUOI,past,CBDO,Dh9VxugC5nb sP3wnts1lp3ax5G1Ra3nRor6EE9 3sRezTJrUrHD4tSZpij2nqwfvzsDj8sjut93XYldwZhlTztjVRRgfGWN7xu,05/01/2011,16/06/2014,ronaldo.moreira@hotmail.com
14,ERTG,current,partner, lFIW9jUKvZBQ8GGOILL6GJsRrMDnXv7kpl2qRKmvfiy7QAjZAIEwly4bX1pxfsyAdbmWOb89jbbiWwBrnonPrL 1sbSafzPyvy,03/03/2013,28/05/2020,andrea.pirlo@verizon.com
15,ASZD,current,CHRO,ezZMLkKGMJXWFm09J2FjTRcvpyIhduMoyjSMRbdCEl90eVVrlgqXtLeMXoiYbnnd8tjhUnstZCetSmRTcb77Ez6mEF0n3Emb8g3,23/07/2012,04/04/2018,afafada.fhfdjetj@verizon.com
16,TNM,past,manager,vwzX8z79qsv4vXO7ArqYIy8cOyE1UaDwxughnE9IH1P5TLEQoImuRHu7zXJKuGoPo HB1rU6tiQSjDJCtzMMzTep ktP6yYBM Q,28/02/2009,21/02/2012,gfhd.bndtj@mail.com
17,PLOTE,current,worker,TDDZ8zqBt1cYwOGc65cbVgdBR9EA5KPFjx0 pZOYJRvzhL7BzVcHvj5ylBI9vpHjmXz9YGxgqEREvpfFBCLjsIVA3BYoRQnfKMM,19/04/2015,30/01/2019,claus.athanasiadis@verizon.com
18,HNAS,past,CFCO,KX8otj7bqS1C7hC7sdi1eByGWtJPabw5jcVsEZdAwrptC bHOT6CmVtIj2R ZrBPg6efLV3T hEyWFEXRBAGguSNtMJMHelEpaN,12/06/2010,08/03/2015,memphis.depay@outlook.com
19,ITRON,current,CDO,Gf764amCER6xey4sYr5twoRw MqLg6 I6393UGGr4sN6yapZOwNYurbcOL6suahIRx1mzBXRlO0EaV9khR8utmZPbgoJKY7eKFp,27/12/2014,05/09/2017,eva.waters@gmail.com
